BEDS Code,School Name,Local School Code,Weighted Register Allocation,Weighted Register Allocation If Local Formula Fully Funded,Weighted Register Allocation Gap to 100%,% Funded,"Foundation 
(not included in the funding %)",Collective Bargaining for School Based Staff (not included in the funding %),Total FSF Allocation Including Foundation and Collective Bargaining Costs,Total FSF Allocation at 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total FSF Allocation Gap to 100% Including Foundation & Adjusted for Collective Bargaining Costs,Total Funding (See Part C),Local Formula as % of Total Funding,Other Funding
342700010137,M.S. 137 America's School of Heroes,27Q137,"$15,990,882.00","$15,990,882.00",$0.00,100.00%,"$338,081.00","$4,479,671.00","$20,808,634.00","$20,808,634.00",$0.00,"$26,001,114.00",80.03%,"$5,192,480.00"
342700010146,P.S. 146 Howard Beach,27Q146,"$4,502,757.00","$4,275,810.00",$0.00,105.31%,"$338,081.00","$1,331,610.00","$6,172,448.00","$5,881,923.00",$0.00,"$10,328,266.00",59.76%,"$4,155,818.00"
342700010155,P.S. 155,27Q155,"$3,351,245.00","$3,351,245.00",$0.00,100.00%,"$338,081.00","$1,083,825.00","$4,773,151.00","$4,773,151.00",$0.00,"$7,966,466.00",59.92%,"$3,193,315.00"
342700010183,P.S. 183 Dr. Richard R. Green,27Q183,"$3,858,260.00","$3,858,260.00",$0.00,100.00%,"$338,081.00","$1,119,158.00","$5,315,500.00","$5,315,500.00",$0.00,"$10,801,407.00",49.21%,"$5,485,908.00"
342700010197,P.S. 197 The Ocean School,27Q197,"$3,047,754.00","$3,047,754.00",$0.00,100.00%,"$338,081.00","$832,679.00","$4,218,514.00","$4,218,514.00",$0.00,"$8,764,836.00",48.13%,"$4,546,322.00"
342700010202,J.H.S. 202 Robert H. Goddard,27Q202,"$7,307,301.00","$7,307,301.00",$0.00,100.00%,"$338,081.00","$2,047,060.00","$9,692,442.00","$9,692,442.00",$0.00,"$13,514,729.00",71.72%,"$3,822,286.00"
342700010207,P.S. 207 Rockwood Park,27Q207,"$4,318,289.00","$4,318,289.00",$0.00,100.00%,"$338,081.00","$1,301,055.00","$5,957,424.00","$5,957,424.00",$0.00,"$14,099,597.00",42.25%,"$8,142,172.00"
342700010210,J.H.S. 210 Elizabeth Blackwell,27Q210,"$14,660,484.00","$14,660,484.00",$0.00,100.00%,"$338,081.00","$3,912,376.00","$18,910,941.00","$18,910,941.00",$0.00,"$24,354,708.00",77.65%,"$5,443,767.00"
342700010223,P.S. 223 Lyndon B. Johnson,27Q223,"$3,586,056.00","$3,586,056.00",$0.00,100.00%,"$338,081.00","$1,101,996.00","$5,026,132.00","$5,026,132.00",$0.00,"$9,979,748.00",50.36%,"$4,953,615.00"
342700010226,J.H.S. 226 Virgil I. Grissom,27Q226,"$9,026,516.00","$9,026,516.00",$0.00,100.00%,"$338,081.00","$2,345,222.00","$11,709,819.00","$11,709,819.00",$0.00,"$15,405,099.00",76.01%,"$3,695,280.00"
342700010232,P.S. 232 Lindenwood,27Q232,"$6,583,075.00","$6,583,075.00",$0.00,100.00%,"$338,081.00","$1,939,014.00","$8,860,170.00","$8,860,170.00",$0.00,"$12,883,450.00",68.77%,"$4,023,280.00"
342700010253,P.S. 253,27Q253,"$4,403,442.00","$4,403,442.00",$0.00,100.00%,"$338,081.00","$1,268,371.00","$6,009,893.00","$6,009,893.00",$0.00,"$10,525,854.00",57.10%,"$4,515,961.00"
342700010254,P.S. 254 - The Rosa Parks School,27Q254,"$3,890,462.00","$3,890,462.00",$0.00,100.00%,"$338,081.00","$1,245,790.00","$5,474,333.00","$5,474,333.00",$0.00,"$9,498,745.00",57.63%,"$4,024,413.00"
342700011260,Frederick Douglass Academy VI High School,27Q260,"$3,029,945.00","$3,029,945.00",$0.00,100.00%,"$338,081.00","$896,190.00","$4,264,216.00","$4,264,216.00",$0.00,"$6,247,191.00",68.26%,"$1,982,975.00"
342700011261,Voyages Prep - South Queens,27Q261,"$3,011,386.00","$3,011,386.00",$0.00,100.00%,"$338,081.00","$817,580.00","$4,167,047.00","$4,167,047.00",$0.00,"$5,462,029.00",76.29%,"$1,294,982.00"
342700011262,Channel View School for Research,27Q262,"$10,177,875.00","$10,177,875.00",$0.00,100.00%,"$338,081.00","$2,189,795.00","$12,705,751.00","$12,705,751.00",$0.00,"$21,086,888.00",60.25%,"$8,381,137.00"
342700010273,P.S. 273,27Q273,"$2,499,067.00","$2,499,067.00",$0.00,100.00%,"$338,081.00","$755,092.00","$3,592,239.00","$3,592,239.00",$0.00,"$5,843,105.00",61.48%,"$2,250,866.00"
342700010282,Knowledge and Power Preparatory Academy VI,27Q282,"$2,395,080.00","$2,395,080.00",$0.00,100.00%,"$338,081.00","$732,364.00","$3,465,525.00","$3,465,525.00",$0.00,"$4,516,032.00",76.74%,"$1,050,506.00"
342700010297,Hawtree Creek Middle School,27Q297,"$3,372,440.00","$3,372,440.00",$0.00,100.00%,"$338,081.00","$1,022,661.00","$4,733,182.00","$4,733,182.00",$0.00,"$6,026,082.00",78.54%,"$1,292,900.00"
342700011302,"Queens High School for Information, Research, and Technology",27Q302,"$4,783,663.00","$4,783,663.00",$0.00,100.00%,"$338,081.00","$1,387,002.00","$6,508,747.00","$6,508,747.00",$0.00,"$8,352,628.00",77.92%,"$1,843,881.00"
342700010306,New York City Academy for Discovery,27Q306,"$3,062,000.00","$3,062,000.00",$0.00,100.00%,"$338,081.00","$953,904.00","$4,353,986.00","$4,353,986.00",$0.00,"$6,714,263.00",64.85%,"$2,360,277.00"
342700011308,Robert H. Goddard High School of Communication Arts and Technology,27Q308,"$5,181,083.00","$5,181,083.00",$0.00,100.00%,"$338,081.00","$1,512,537.00","$7,031,701.00","$7,031,701.00",$0.00,"$9,083,583.00",77.41%,"$2,051,882.00"
342700011309,Academy of Medical Technology: A College Board School,27Q309,"$6,270,901.00","$6,270,901.00",$0.00,100.00%,"$338,081.00","$1,585,499.00","$8,194,481.00","$8,194,481.00",$0.00,"$10,805,828.00",75.83%,"$2,611,348.00"
